LogName,Date,Time,ComputerName,SourceName,TaskCategory,EventType,Keywords,OpCode,EventCode,Type,RecordNumber,Message
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182513,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182514,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182515,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182516,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182517,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182518,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182519,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182520,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182521,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182522,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182523,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182524,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:32,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182525,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:33,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182526,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:33,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182527,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:33,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182528,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:33,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182529,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:33,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182530,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:33,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182531,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:33,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182532,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:33,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182533,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:33,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182534,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:33,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182535,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:33,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182536,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:33,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182537,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:33,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182538,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:33,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182539,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:33,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182540,The Windows Filtering Platform has blocked a packet.
